ردیف,آدرس دامنه,عنوان کسب و کار,استان,شهر,تاریخ اعطا,تاریخ انقضا
1,https://kalabazar.com,کالا بازار,همدان,همدان,1399/06/16,1405/06/15
2,https://mobile140.com,موبایل 140,تهران,تهران,1399/05/20,1405/05/19
3,https://iraneyeland.com,ایران آیلند,تهران,تهران,1399/05/20,1405/05/18
4,https://newshanik.ir,پارس نیوشانیک,تهران,تهران,1391/12/28,1405/01/14
5,https://markazi.co,کامپیوتر مرکزی,شیراز,شیراز,1394/11/24,1405/01/11
6,https://golderkala.com,طلا ، سکه و جواهرات جلودار ( گلدر کالا ),بوشهر,بوشهر,1397/12/22,1404/12/22
7,https://digikala.com,دیجی کالا,تهران,تهران,1389/12/19,1404/12/03
8,https://bartardigital.com,برتر دیجیتال,تبریز,تبریز,1396/08/01,1404/11/27
9,https://hypertire.com,هایپر تایر,تهران,تهران,1395/12/07,1404/11/25
10,https://shopmit.com,فروشگاه اینترنتی شاپ ام آی تی,تهران,تهران,1396/12/09,1404/11/18
11,https://alibaba.ir,سفرهای علی بابا,شمیرانات,شمیرانات,1393/10/09,1404/11/11
12,https://shab.ir,شب,شمیرانات,شمیرانات,1397/08/29,1404/10/13
13,https://telecom.ir,تلکام,تهران,تهران,1399/10/14,1404/10/13
14,https://fafait.net,فروشگاه اینترنتی شهر فافا,تهران,تهران,1398/10/22,1404/10/04
15,https://jijimoo.com,جی جی مو,تهران,تهران,1396/10/11,1404/09/20
16,https://tsharonline.com,تامین پیشرو شار,تهران,تهران,1401/02/23,1404/09/12
17,https://zomorodi.com,زمردی,تهران,تهران,1398/09/26,1404/09/11
18,https://zarinhome.com,فروشگاه رسمی اینترنتی صنایع چینی زرین ایران,تهران,تهران,1394/12/01,1404/09/01
19,https://esam.ir,ایسام,تهران,تهران,1391/06/29,1404/07/27
20,https://zar.ir,زر,تهران,تهران,1395/03/22,1404/07/18
21,https://ebpnovin.com,ایده برتر پارسیان خاورمیانه,تهران,تهران,1393/05/25,1404/06/16
22,https://set-coffee.com,قهوه ست,پاکدشت,پاکدشت,1398/05/28,1404/06/01
23,https://digitalshop.ir,دیجیتال شاپ,تهران,تهران,1400/04/27,1404/04/28
24,https://technolife.ir,تکنولایف,تهران,تهران,1392/09/17,1404/04/17
25,https://darukade.com,داروخانه مرکزی جمالزاده,تهران,تهران,1394/04/01,1404/04/15
26,https://hostiran.net,هاست ایران,تهران,تهران,1392/03/07,1404/04/13
27,https://qmita.com,مرکز ماشینهای اداری کیومیتا,تهران,تهران,1397/04/03,1404/04/03
28,https://dariahamrah.ir,داریا همراه پایتخت,تهران,تهران,1400/03/26,1404/03/27
29,https://picnic-brand.com,طب کاران پلیمر,تهران,تهران,1398/03/20,1404/03/20
30,https://polvar.com,پُلوار,اصفهان,اصفهان,1399/11/08,1403/11/07
31,https://kalatik.com,کالاتیک,تهران,تهران,1399/09/09,1403/09/08
32,https://micmodshop.ir,فروشگاه میکرو مدرن,تهران,تهران,1399/08/24,1403/08/26
33,https://achareh.co,آچاره,تهران,تهران,1400/10/06,1403/08/08
34,https://vafa.ir,خودران وفا,تهران,تهران,1398/12/26,1403/08/03
35,https://baghekala.com,باغ کالا,تهران,تهران,1399/04/14,1403/04/13
36,https://shop.mahsun.com,مهسان (برند),تهران,تهران,1399/06/17,1405/06/15
37,https://yopshop.ir,یوپ شاپ,ارومیه,ارومیه,1399/05/12,1405/05/11
38,https://gajino.com,گاجینو,تهران,تهران,1397/12/26,1405/01/16
39,https://asa-elec.com,آسا الکترونیک,تهران,تهران,1400/12/18,1404/11/27
40,https://bornosmode.com,برنس,تهران,تهران,1396/10/27,1404/11/24
41,https://darmankala.com,درمان کالا,تهران,تهران,1391/12/13,1404/11/23
42,https://zibal.ir,زیبال,تهران,تهران,1398/04/29,1404/11/02
43,https://yadakpars.com,یدک پارس,ورامین,ورامین,1397/11/06,1404/10/29
44,https://ctelecom.ir,پیشتازان فناوری سیب طلایی,تهران,تهران,1396/12/15,1404/10/18
45,https://test-sara.com,تست سارا,تهران,تهران,1400/01/17,1404/10/12
