#,آدرس دامنه,عنوان کسب و کار,استان,شهر,تعداد ستاره,تاریخ اعطا,تاریخ انقضا
1,https://www.achareh.co,آچاره,تهران,تهران,5,1400/10/06,1405/08/07
2,https://www.vafa.ir,خودران وفا,تهران,تهران,5,1398/12/26,1405/08/02
3,https://www.kalabazar.com,کالا بازار,همدان,همدان,5,1399/06/16,1405/06/15
4,https://www.mobile140.com,موبایل 140,تهران,تهران,5,1399/05/20,1405/05/19
5,https://www.iraneyeland.com,ایران آیلند,تهران,تهران,5,1399/05/20,1405/05/18
6,https://www.yopshop.ir,یوپ شاپ,ارومیه,ارومیه,5,1399/05/12,1405/05/11
7,https://www.newshanik.ir,پارس نیوشانیک,تهران,تهران,5,1391/12/28,1405/01/14
8,https://www.markazi.co,کامپیوتر مرکزی,شیراز,شیراز,5,1394/11/24,1405/01/11
9,https://www.golderkala.com,طلا ، سکه و جواهرات جلودار ( گلدر کالا ),بوشهر,بوشهر,5,1397/12/22,1404/12/22
10,https://www.bartardigital.com,برتر دیجیتال,تبریز,تبریز,5,1396/08/01,1404/11/27
11,https://www.hypertire.com,هایپر تایر,تهران,تهران,5,1395/12/07,1404/11/25
12,https://www.shopmit.com,فروشگاه اینترنتی شاپ ام آی تی,تهران,تهران,5,1396/12/09,1404/11/18
13,https://www.alibaba.ir,سفرهای علی بابا,شمیرانات,شمیرانات,5,1393/10/09,1404/11/11
14,https://www.telecom.ir,تلکام,تهران,تهران,5,1399/10/14,1404/10/13
15,https://www.shab.ir,شب,شمیرانات,شمیرانات,5,1397/08/29,1404/10/13
16,https://www.fafait.net,فروشگاه اینترنتی شهر فافا,تهران,تهران,5,1398/10/22,1404/10/04
17,https://www.jijimoo.com,جی جی مو,تهران,تهران,5,1396/10/11,1404/09/20
18,https://www.tsharonline.com,تامین پیشرو شار,تهران,تهران,5,1401/02/23,1404/09/12
19,https://www.zomorodi.com,زمردی,تهران,تهران,5,1398/09/26,1404/09/11
20,https://www.zarinhome.com,فروشگاه رسمی اینترنتی صنایع چینی زرین ایران,تهران,تهران,5,1394/12/01,1404/09/01
21,https://www.esam.ir,ایسام,تهران,تهران,5,1391/06/29,1404/07/27
22,https://www.zar.ir,زر,تهران,تهران,5,1395/03/22,1404/07/18
23,https://www.ebpnovin.com,ایده برتر پارسیان خاورمیانه,تهران,تهران,5,1393/05/25,1404/06/16
24,https://www.set-coffee.com,قهوه ست,پاکدشت,پاکدشت,5,1398/05/28,1404/06/01
25,https://www.digitalshop.ir,دیجیتال شاپ,تهران,تهران,5,1400/04/27,1404/04/28
26,https://www.technolife.ir,تکنولایف,تهران,تهران,5,1392/09/17,1404/04/17
27,https://www.darukade.com,داروخانه مرکزی جمالزاده,تهران,تهران,5,1394/04/01,1404/04/15
28,https://www.hostiran.net,هاست ایران,تهران,تهران,5,1392/03/07,1404/04/13
29,https://www.qmita.com,مرکز ماشینهای اداری کیومیتا,تهران,تهران,5,1397/04/03,1404/04/03
30,https://www.dariahamrah.ir,داریا همراه پایتخت,تهران,تهران,5,1400/03/26,1404/03/27
31,https://www.picnic-brand.com,طب کاران پلیمر,تهران,تهران,5,1398/03/20,1404/03/20
32,https://www.polvar.com,پُلوار,اصفهان,اصفهان,5,1399/11/08,1403/11/07
33,https://www.kalatik.com,کالاتیک,تهران,تهران,5,1399/09/09,1403/09/08
34,https://www.micmodshop.ir,فروشگاه میکرو مدرن,تهران,تهران,5,1399/08/24,1403/08/26
35,https://www.baghekala.com,باغ کالا,تهران,تهران,5,1399/04/14,1403/04/13
36,https://www.shop.mahsun.com,مهسان (برند),تهران,تهران,4,1399/06/17,1405/06/15
37,https://www.gajino.com,گاجینو,تهران,تهران,4,1397/12/26,1405/01/16
38,https://www.digikala.com,دیجی کالا,تهران,تهران,4,1389/12/19,1404/12/03
39,https://www.asa-elec.com,آسا الکترونیک,تهران,تهران,4,1400/12/18,1404/11/27
40,https://www.bornosmode.com,برنس,تهران,تهران,4,1396/10/27,1404/11/24
41,https://www.darmankala.com,درمان کالا,تهران,تهران,4,1391/12/13,1404/11/22
42,https://www.zibal.ir,زیبال,تهران,تهران,4,1398/04/29,1404/11/02
43,https://www.yadakpars.com,یدک پارس,ورامین,ورامین,4,1397/11/06,1404/10/29
44,https://www.ctelecom.ir,پیشتازان فناوری سیب طلایی,تهران,تهران,4,1396/12/15,1404/10/18
45,https://www.test-sara.com,تست سارا,تهران,تهران,4,1400/01/17,1404/10/12
46,https://www.entekhabcenter.com,آریا تجارت گستر احسان,شمیرانات,شمیرانات,4,1400/10/18,1404/09/20
47,https://www.nobahar.net,نوبهار,تهران,تهران,4,1399/05/15,1404/09/05
48,https://www.mobit.ir,مبیت,کرمان,کرمان,4,1397/02/02,1404/08/29
49,https://www.payaneh.ir,پایانه,تهران,تهران,4,1402/07/22,1404/07/23
50,https://www.modiseh.com,فروشگاه اینترنتی مدیسه,تهران,تهران,4,1394/05/25,1404/06/31
51,https://www.shop.matris.co.ir,ماتریس,تهران,تهران,4,1393/06/15,1404/06/26
52,https://www.markazkharid.com,مرکزخرید,تهران,تهران,4,1400/05/17,1404/05/18
53,https://www.gajmarket.com,گاج مارکت,تهران,تهران,4,1400/04/20,1404/04/21
54,https://www.nikrun.com,نیکران موتور پاسارگاد,تهران,تهران,4,1402/03/06,1404/03/07
55,https://www.milanooshop.com,میلانوشاپ,اصفهان,اصفهان,4,1399/12/28,1403/12/27
56,https://www.aspshop.ir,فروشگاه اینترنتی آ اس پ,تهران,تهران,4,1399/12/11,1403/12/10
57,https://www.shop.tandisservice.ir,فروشگاه اینترنتی تندیس سرویس,تهران,تهران,4,1399/11/05,1403/11/04
58,https://www.farako.com,فراکو,تهران,تهران,4,1399/09/29,1403/09/28
59,https://www.karianhamrah.com,کاریان همراه,تهران,تهران,4,1399/09/05,1403/09/04
60,https://www.jibimo.com,نوآوران راهبرد سپهر پایا,تهران,تهران,4,1399/05/29,1403/06/24
61,https://www.itahoura.com,آی تی اهورا,تهران,تهران,3,1401/06/14,1405/06/13
62,https://www.omegasad.com,امگا صد صنعت آرا,تهران,تهران,3,1401/05/18,1405/05/17
63,https://www.pandgostar.com,پند گستر,تهران,تهران,3,1399/02/10,1405/03/09
64,https://www.baarbarg.ir,نرم افزار ثبت سند حمل بار شهری,تهران,تهران,3,1401/02/28,1405/02/27
65,https://www.dorsawin.ir,پنجره درساوین,قم,قم,3,1399/02/27,1405/02/25
66,https://www.baratbooks.com,انتشارات آثار برات,تهران,تهران,3,1401/02/12,1405/02/11
67,https://www.englishturbo.com,انگلیش توربو,تهران,تهران,3,1401/01/31,1405/02/04
68,https://www.admis.ir,فروشگاه ادمیس,بندرعباس,بندرعباس,3,1397/12/22,1404/12/15
69,https://www.rondtarin.com,فروش سیمکارت,بندرلنگه,بندرلنگه,3,1400/12/02,1404/12/12
70,https://www.ibolak.com,آی بولک,گرگان,گرگان,3,1398/10/18,1404/12/11
71,https://www.datisint.com,داتیس,تهران,تهران,3,1399/12/06,1404/12/06
